"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"v_1058";"v_872";"v_877";"v_878";"v_879";"v_85";"v_451";"v_870";"v_873";"v_874";"v_1135";"v_876";"v_1046";"v_1035";"v_1056";"v_1057";"v_1053";"v_1060";"v_1061";"v_1062";"v_1063";"v_1064";"v_1065";"v_1066";"v_1067";"v_1068";"v_1069";"v_1070";"v_1071";"v_1072";"v_1073";"v_1074";"v_1075";"v_1076";"v_1077";"v_1078";"v_1079";"v_1080";"v_1081";"v_1082";"v_1085";"v_1086";"v_1087";"v_1088";"v_1089";"v_1090";"v_1091";"v_1092";"v_1093";"v_1094";"v_1095";"v_1096";"v_1097";"v_1098";"v_1099";"v_1100";"v_1101";"v_1102";"v_1103";"v_1104";"v_1105";"v_1106";"v_1107";"v_1108";"v_1109";"v_1110";"v_1111";"v_1112";"v_1113";"v_1114";"v_1115";"v_1116";"v_1117";"v_1118";"v_1119";"v_1120";"v_1121";"v_1122";"v_1123";"v_1124";"v_1125";"v_1126";"v_1127";"v_1128";"v_1129";"v_1130";"v_1131";"v_1132";"v_1133";"v_1134";"browser";"referer";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"quota";"quota_assignment";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts4384348";"rts4384349";"rts4384394";"rts4384468";"rts4384469";"rts4384897";"rts4385026";"rts4385055";"rts4385159";"rts4385550";"rts4385552"
"1";"0";"0";"31";"4384395";"-77";"1413";"12";"2";"12";"12";"12";"6";"nix";"1";"2";"1";"-66";"2";"1";"-77";"-77";"-66";"Saxophon";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384348,4384348,4384349,4384349,4384349,4385025,4385054,4385055,4384897,4384468,4384468,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"0";"0";"-77";"-77";"bf4f8b0bf54b25e6748490fc69db477f";"1";"0";"1434356010";"2015-06-15 08:13:30";"2015-06-15 08:37:03";"0000-00-00 00:00:00";"137";"305";"1413";"518";"1049";"319";"0";"287";"802";"1121";"1384"
"2";"0";"0";"22";"4384394";"-77";"445";"666";"1";"22";"11";"2016";"6";"Psychologe 623423ncmnfwerwerwerwerwerwer";"1";"1";"1";"-66";"1";"1";"5";"1";"Leisure Ssuite Larry";"Blockflöte und Klarinette und Waldhorn";"1";"2";"1";"2";"1";"1";"2";"1";"2";"1";"1";"2";"1";"2";"1";"2";"1";"2";"1";"2";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"1";"1";"1";"1";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384349,4385025,4385026,4385054,4385055,4384897,4384468,4385159,4385159,4385159,4384469,4384469,4384469,4385550,4385552,4384394";"0";"0";"0";"-77";"-77";"8edae4727567353c975a294f3152109b";"1";"0";"1434525341";"2015-06-17 07:15:41";"2015-06-17 07:23:26";"0000-00-00 00:00:00";"70";"218";"0";"330";"400";"304";"243";"264";"405";"445";"465"
"4";"0";"0";"22";"4384349";"-77";"0";"999";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384349";"0";"0";"0";"-77";"-77";"a14a2c39325f12a155b4e27cc52fde85";"1";"0";"1434981529";"2015-06-22 13:58:49";"2015-06-22 13:59:02";"0000-00-00 00:00:00";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"13";"0";"0";"22";"4384349";"-77";"0";"999";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384349";"0";"1";"0";"-77";"-77";"74cc0b2e034ae8e0ec7665d9a6c2313c";"1";"0";"1434982810";"2015-06-22 14:20:10";"2015-06-22 14:20:15";"0000-00-00 00:00:00";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20";"0";"0";"22";"4384349";"-77";"15";"0";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384348,4384348,4384349";"0";"1";"0";"-77";"-77";"532c4aeac8eee3a2dcba4f88fce0b9a0";"1";"0";"1435826767";"2015-07-02 08:46:07";"2015-07-02 08:46:47";"0000-00-00 00:00:00";"40";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"22";"0";"0";"31";"4384395";"-77";"190";"1";"2";"1";"23";"1986";"2";"wer";"1";"1";"2";"0";"1";"2";"1";"1";"cod";"-66";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384349,4385025,4385026,4385054,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"0";"0";"-77";"-77";"395ca75507cedd8fa8918955d004570a";"1";"0";"1441098281";"2015-09-01 09:04:41";"2015-09-01 09:07:51";"0000-00-00 00:00:00";"17";"73";"190";"118";"144";"108";"96";"0";"130";"156";"173"
"24";"0";"0";"22";"4384349";"-77";"0";"1";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 6.1; rv:38.0) Gecko/20100101 Firefox/38.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384349";"0";"1";"0";"-77";"-77";"5627ae82324799cff21e9266d320c360";"1";"0";"1441275980";"2015-09-03 10:26:20";"2015-09-03 10:26:41";"0000-00-00 00:00:00";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"25";"0";"0";"31";"4384395";"-77";"655";"1";"2";"4";"11";"1985";"6";"PhD";"1";"1";"2";"0-1";"2";"1";"-77";"-77";"-66";"Klavier";"1";"2";"2";"1";"1";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"1";"2";"1";"1";"1";"2";"2";"2";"1";"1";"2";"1";"1";"1";"2";"2";"1";"2";"2";"2";"1";"2";"2";"1";"1";"2";"1";"1";"1";"2";"1";"1";"2";"1";"1";"2";"1";"2";"1";"2";"1";"2";"1";"1";"1";"1";"2";"2";"2";"2";"1";"2";"2";"1";"2";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"0";"0";"-77";"-77";"56cf021622957747f0bd67004f61acb5";"1";"0";"1441366211";"2015-09-04 11:30:11";"2015-09-04 11:41:06";"0000-00-00 00:00:00";"14";"87";"655";"194";"362";"117";"0";"94";"284";"447";"535"
"26";"0";"0";"31";"4384395";"-77";"846";"2";"2";"7";"4";"1988";"6";"HR Assistant";"1";"1";"1";"3";"1";"1";"1";"2";"Monkey Island";"Blockflöte";"1";"2";"2";"1";"1";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"1";"2";"1";"1";"1";"1";"2";"2";"2";"1";"1";"2";"1";"1";"2";"2";"1";"1";"1";"1";"1";"1";"2";"2";"1";"1";"2";"1";"1";"1";"2";"1";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"2";"2";"1";"1";"1";"1";"2";"1";"2";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384349,4385025,4385026,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"1";"0";"-77";"-77";"ff5459c15ffa414c83c4147dbdc92c59";"1";"0";"1441972776";"2015-09-11 11:59:36";"2015-09-11 12:13:42";"0000-00-00 00:00:00";"24";"188";"846";"395";"561";"300";"241";"270";"481";"628";"726"
"27";"0";"0";"31";"4384395";"-77";"618";"999";"1";"5";"1";"1992";"5";"Psychologie";"2";"1";"2";"1";"1";"1";"2";"1";"Star Wars Commander ";"Blockflöte";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"1";"2";"2";"2";"1";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"2";"2";"1";"1";"1";"1";"2";"2";"1";"1";"1";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"1";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"2";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384349,4385025,4385026,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"0";"0";"-77";"-77";"6f0e1596df5416b07705088b1711b982";"1";"0";"1441972974";"2015-09-11 12:02:54";"2015-09-11 12:13:12";"0000-00-00 00:00:00";"5";"75";"618";"283";"467";"131";"116";"128";"397";"539";"615"
"30";"0";"0";"22";"4384349";"-77";"0";"11";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384349";"1";"0";"0";"-77";"-77";"72a9c246e232401367234b5743974fa6";"1";"0";"1442409027";"2015-09-16 13:10:27";"2015-09-16 13:10:37";"0000-00-00 00:00:00";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"31";"0";"0";"31";"4384395";"-77";"5368";"3";"2";"19";"7";"1995";"5";"Psychologie";"1";"1";"2";"1";"2";"1";"-77";"-77";"-66";"Klavier";"2";"1";"1";"2";"2";"2";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"2";"1";"2";"2";"1";"2";"1";"1";"1";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:38.0) Gecko/20100101 Firefox/38.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"1";"0";"-77";"-77";"3acdfe7791c624b22d6174918d6ad077";"1";"0";"1442491002";"2015-09-17 11:56:42";"2015-09-17 13:26:10";"0000-00-00 00:00:00";"4867";"4929";"5368";"5015";"5161";"4943";"0";"4933";"5108";"5259";"5353"
"32";"0";"0";"31";"4384395";"-77";"5183";"6";"2";"6";"10";"1993";"4";"Psychologie";"1";"1";"1";"15";"2";"1";"-77";"-77";"-66";"Harfe, Klavier";"2";"2";"1";"1";"2";"1";"1";"1";"1";"2";"2";"2";"1";"2";"1";"2";"1";"1";"2";"1";"2";"1";"2";"2";"2";"1";"1";"2";"1";"1";"2";"1";"2";"2";"1";"2";"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"0";"0";"-77";"-77";"fa1d5cf05e8202fc7f2de91af0196ce9";"1";"0";"1442491014";"2015-09-17 11:56:54";"2015-09-17 13:23:17";"0000-00-00 00:00:00";"4852";"4905";"5183";"4973";"5073";"4916";"0";"4914";"5029";"5120";"5178"
"33";"0";"0";"31";"4384395";"-77";"5354";"5";"2";"20";"8";"1993";"4";"Psychologie";"1";"1";"1";"0";"1";"1";"2";"2";"2048";"Klavier";"1";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"1";"2";"1";"2";"2";"1";"2";"1";"2";"2";"1";"2";"2";"1";"1";"1";"2";"1";"2";"2";"1";"2";"2";"2";"1";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384349,4385025,4385026,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"0";"0";"-77";"-77";"d7167cb9f5bd8b8a1532f997cfba2d46";"1";"0";"1442491069";"2015-09-17 11:57:49";"2015-09-17 13:27:03";"0000-00-00 00:00:00";"4792";"4880";"5354";"5032";"5199";"4953";"4918";"4931";"5125";"5279";"5344"
"34";"0";"0";"31";"4384395";"-77";"5189";"4";"2";"3";"5";"1994";"5";"Psychologie";"1";"2";"2";"1";"2";"2";"-77";"-77";"-66";"-66";"2";"1";"2";"1";"2";"2";"1";"1";"2";"2";"2";"1";"1";"1";"1";"2";"1";"1";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"1";"1";"1";"1";"2";"1";"1";"1";"2";"1";"2";"2";"2";"2";"2";"1";"1";"1";"2";"2";"2";"1";"1";"1";"1";"1";"1";"2";"2";"2";"1";"1";"1";"2";"1";"1";"2";"2";"2";"1";"2";"2";"1";"2";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384349,4385025,4385054,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"1";"0";"-77";"-77";"94d13ba2f9c89c7f5d58c48cfeb65a4f";"1";"0";"1442491136";"2015-09-17 11:58:56";"2015-09-17 13:25:25";"0000-00-00 00:00:00";"4726";"4804";"5189";"4887";"5038";"4820";"0";"0";"4978";"5095";"5175"
"35";"0";"0";"31";"4384395";"-77";"5208";"8";"2";"10";"5";"1995";"4";"Psychologie";"1";"1";"2";"3";"2";"1";"-77";"-77";"-66";"Altflöte und picolo";"2";"1";"1";"2";"2";"2";"1";"2";"1";"2";"2";"2";"1";"2";"1";"2";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"2";"2";"2";"1";"1";"1";"2";"2";"2";"1";"1";"1";"1";"2";"1";"2";"2";"1";"1";"2";"2";"1";"2";"2";"1";"2";"1";"1";"2";"2";"2";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"1";"0";"-77";"-77";"adaa6edc70d8aa554ba00bc2f7cec3fc";"1";"0";"1442821434";"2015-09-21 07:43:54";"2015-09-21 09:10:42";"0000-00-00 00:00:00";"4750";"4810";"5208";"4910";"5050";"4844";"0";"4829";"4981";"5113";"5196"
"36";"0";"0";"31";"4384395";"-77";"479";"7";"2";"4";"5";"1994";"5";"Psychologie";"1";"2";"2";"3";"2";"1";"-77";"-77";"-66";"Schlagzeug, Flöte";"1";"1";"2";"1";"2";"1";"2";"1";"1";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"1";"2";"2";"1";"1";"1";"2";"1";"1";"1";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"2";"1";"2";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"2";"1";"2";"2";"2";"1";"1";"1";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385550,4385550,4385552,4384394,4384395";"1";"0";"0";"-77";"-77";"11ed7289c3e8d12ff63b6b215a4a5c5b";"1";"0";"1442826168";"2015-09-21 09:02:48";"2015-09-21 09:10:47";"0000-00-00 00:00:00";"24";"76";"479";"153";"301";"89";"0";"86";"232";"395";"474"
